,date-time,open_price,high_price,low_price,close_price,volume
0,2023-03-14 00:00:00+00:00,24188.0,24364.6,24071.0,24275.71,1411.6682074999999
1,2023-03-14 01:00:00+00:00,24274.87,24534.98,24195.0,24481.0,1280.8052605200003
2,2023-03-14 02:00:00+00:00,24505.9,24597.0,24337.0,24380.52,1395.63309397
3,2023-03-14 03:00:00+00:00,24380.52,24549.0,24300.0,24518.1,1179.92676054
4,2023-03-14 04:00:00+00:00,24518.1,24600.0,24419.0,24575.21,1262.6285148800005
5,2023-03-14 05:00:00+00:00,24575.21,24922.01,24311.0,24470.39,3328.6741875200023
6,2023-03-14 06:00:00+00:00,24469.47,24611.84,24370.0,24462.42,1021.0800192300003
7,2023-03-14 07:00:00+00:00,24460.5,24547.83,24223.0,24391.23,1160.4201627200005
8,2023-03-14 08:00:00+00:00,24320.0,24437.54,24182.0,24349.68,1270.5448295799995
9,2023-03-14 09:00:00+00:00,24349.72,24396.82,24215.0,24394.18,1665.0250689
10,2023-03-14 10:00:00+00:00,24391.57,24750.0,24319.0,24702.26,1160.31045169
11,2023-03-14 11:00:00+00:00,24700.62,25001.0,24512.0,24867.93,3483.2036498600005
12,2023-03-14 12:00:00+00:00,24867.93,26246.92,24521.2,26007.2,11439.067116619992
13,2023-03-14 13:00:00+00:00,26007.98,26553.9,25650.9,25873.98,8485.036553569997
14,2023-03-14 14:00:00+00:00,25873.74,26251.66,25720.0,25922.8,3547.44804362
15,2023-03-14 15:00:00+00:00,25906.3,26064.08,25841.87,25997.51,2859.95385076
16,2023-03-14 16:00:00+00:00,25997.51,26102.62,25774.0,25957.48,2396.0648799800006
17,2023-03-14 17:00:00+00:00,25959.86,25982.39,25662.83,25703.6,1912.9991258099997
18,2023-03-14 18:00:00+00:00,25703.6,25723.83,24885.3,25039.01,3838.8336518399974
19,2023-03-14 19:00:00+00:00,25043.44,25242.8,24271.42,25129.19,4633.7703374600005
20,2023-03-14 20:00:00+00:00,25131.28,25244.73,24538.8,24628.0,2954.73756182
21,2023-03-14 21:00:00+00:00,24658.39,24712.59,24051.0,24640.72,2627.73666363
22,2023-03-14 22:00:00+00:00,24635.64,24877.04,24465.0,24796.8,1239.6505133300002
23,2023-03-14 23:00:00+00:00,24796.7,24883.3,24670.0,24762.65,1059.85453735
24,2023-03-15 00:00:00+00:00,24730.0,24820.0,24343.0,24805.14,1635.8322468099996
25,2023-03-15 01:00:00+00:00,24804.48,25167.48,24728.0,25000.01,1714.686258340001
26,2023-03-15 02:00:00+00:00,24997.25,25069.7,24872.0,24916.62,518.5066353799998
27,2023-03-15 03:00:00+00:00,24893.0,24958.29,24713.0,24810.6,690.41569821
28,2023-03-15 04:00:00+00:00,24831.97,24933.6,24742.0,24927.7,428.2559196999997
29,2023-03-15 05:00:00+00:00,24863.0,24999.58,24752.0,24818.77,509.85147148999994
30,2023-03-15 06:00:00+00:00,24816.85,24964.89,24691.0,24899.19,857.20466827
31,2023-03-15 07:00:00+00:00,24886.6,25032.67,24778.0,24992.1,648.74127708
32,2023-03-15 08:00:00+00:00,24991.45,25048.01,24820.0,24877.43,727.16191731
33,2023-03-15 09:00:00+00:00,24876.95,24910.46,24543.0,24585.0,743.0107400200001
34,2023-03-15 10:00:00+00:00,24642.1,24767.19,24468.0,24638.8,1227.7436310500002
35,2023-03-15 11:00:00+00:00,24641.8,24943.33,24335.0,24868.54,2408.7611154300007
36,2023-03-15 12:00:00+00:00,24862.6,25324.0,24493.0,24944.21,3615.9127121099996
37,2023-03-15 13:00:00+00:00,24943.21,25276.91,24803.0,24881.68,3167.8621137400005
38,2023-03-15 14:00:00+00:00,24879.94,25048.44,24499.0,24800.14,2654.8589483300016
39,2023-03-15 15:00:00+00:00,24788.1,24898.11,24428.1,24532.89,2803.671398120002
40,2023-03-15 16:00:00+00:00,24522.0,24584.0,24100.0,24161.7,3975.246844410003
41,2023-03-15 17:00:00+00:00,24154.5,24410.5,23913.3,24340.25,3201.2146171400013
42,2023-03-15 18:00:00+00:00,24340.28,24576.5,24179.0,24478.95,2268.816057620001
43,2023-03-15 19:00:00+00:00,24475.87,24547.4,24161.0,24440.41,1980.9043839299993
44,2023-03-15 20:00:00+00:00,24410.0,24520.87,24285.0,24404.59,1223.3086867999996
45,2023-03-15 21:00:00+00:00,24404.59,24571.35,24353.0,24540.01,987.7833010499999
46,2023-03-15 22:00:00+00:00,24540.1,24784.26,24346.0,24463.43,1394.7931411999994
47,2023-03-15 23:00:00+00:00,24463.43,24541.11,24289.0,24377.16,1006.9301761299998
48,2023-03-16 00:00:00+00:00,24377.16,24478.09,24213.0,24289.44,1021.1675097400001
49,2023-03-16 01:00:00+00:00,24289.44,24437.66,24186.0,24418.95,805.37998429
50,2023-03-16 02:00:00+00:00,24418.15,24523.71,24362.0,24423.0,540.3140737399999
51,2023-03-16 03:00:00+00:00,24446.43,24464.52,24286.0,24349.01,595.3360006200003
52,2023-03-16 04:00:00+00:00,24321.0,24398.29,24253.0,24351.32,547.0111459100001
53,2023-03-16 05:00:00+00:00,24316.0,24543.92,24302.0,24427.08,489.8274897300001
54,2023-03-16 06:00:00+00:00,24428.81,24675.29,24411.0,24649.29,827.9543713099998
55,2023-03-16 07:00:00+00:00,24649.8,24758.0,24594.0,24695.57,798.0360608399998
56,2023-03-16 08:00:00+00:00,24693.88,24740.9,24618.0,24659.43,476.8482113999999
57,2023-03-16 09:00:00+00:00,24658.91,24924.16,24424.0,24736.84,1369.9438036199977
58,2023-03-16 10:00:00+00:00,24736.4,25148.7,24626.0,24983.0,1765.1204208499996
59,2023-03-16 11:00:00+00:00,25018.24,25021.95,24781.0,24907.89,1058.0216605199998
